Day,Month,Year,MODIS_B01,MODIS_B02,MODIS_B03,MODIS_B04,MODIS_B05,MODIS_B06,MODIS_B07,Salinity
2005,1,2005,0.0792207792207792,0.0792207792207792,0.0792207792207792,0.0792207792207792,0.0792207792207792,0.1977272727272727,0.0792207792207792,19.86
2011,7,2011,0.0001082251082251,0.0001082251082251,0.0001082251082251,0.0001082251082251,0.0001082251082251,0.004004329004329,0.0001082251082251,22.13
2014,11,2014,0.1554112554112554,0.1554112554112554,0.1554112554112554,0.1554112554112554,0.1554112554112554,0.1974025974025974,0.1554112554112554,32.94
2010,5,2010,0.0,0.0,0.0,0.0,0.0,0.0264629948364888,0.0,24.98
2005,1,2005,0.0,0.0,0.0,0.0,0.0,0.0291523235800344,0.0,26.45
2015,3,2015,0.0057013769363166,0.0057013769363166,0.0057013769363166,0.0057013769363166,0.0057013769363166,0.1289802065404475,0.0057013769363166,26.51
2010,3,2010,0.0,0.0217321140398063,0.0,0.0,0.0,0.0,0.0,0.13
2013,11,2013,0.0,0.0,0.0,0.0,0.0,0.0016135972461273,0.0,20.51
2020,1,2020,0.0,0.260911911117524,0.0058437342183103,0.0,0.0626578168963278,0.1348387562224947,0.0,29.07
2007,3,2007,0.0,0.0,0.0,0.0,0.0058441558441558,0.0058441558441558,0.0,25.22
2021,7,2021,0.0907943149844888,0.0907943149844888,0.0907943149844888,0.0907943149844888,0.0907943149844888,0.0939326166943222,0.0907943149844888,32.8
2014,11,2014,0.0339931153184165,0.0339931153184165,0.0339931153184165,0.0339931153184165,0.0339931153184165,0.0995051635111876,0.0339931153184165,32.57
2015,5,2015,0.6888031166582498,0.8411730755356757,0.6955125892792727,0.6888031166582498,0.8259144361878652,1.313758026116442,0.6888031166582498,30.94
2012,4,2012,0.0,0.0,0.0,0.0,0.0,0.0306254959959598,0.0,26.03
2021,9,2021,0.0,0.0907943149844888,0.0,0.0,0.0,0.0,0.0,32.69
2021,4,2021,0.0416666666666666,0.0416666666666666,0.0416666666666666,0.0416666666666666,0.0511904761904761,0.0775974025974026,0.0548701298701298,29.34
2018,8,2018,0.2916456244138229,0.3298463314335185,0.2982468797345068,0.2916456244138229,0.3488925762931967,0.5362167231801457,0.3049563523555299,30.93
2009,8,2009,0.0,0.0,0.0,0.0,0.0,0.0208691910499139,0.0,30.7
2002,1,2002,0.0003246753246753,0.0003246753246753,0.0028138528138528,0.0003246753246753,0.0003246753246753,0.0003246753246753,0.0003246753246753,0.11
2021,7,2021,0.1631884681583476,0.1631884681583476,0.1631884681583476,0.1631884681583476,0.1631884681583476,0.2278399311531841,0.1631884681583476,33.43
2012,4,2012,0.0,0.0,0.0,0.0,0.0,0.0211919104991394,0.0,24.77
2005,10,2005,0.0,0.006709472621023,0.0,0.0,0.0,0.0,0.0,30.13
2009,7,2009,0.0290022364908736,0.0290022364908736,0.0290022364908736,0.0290022364908736,0.0290022364908736,0.0356034918115576,0.0290022364908736,30.01
2018,3,2018,0.0532429117668277,0.0981530914075463,0.0607099054902243,0.0532429117668277,0.054974388572253,1.2130077195007576,0.0532429117668277,27.95
2016,11,2016,0.0,0.0,0.0,0.0,0.0,0.0131239242685025,0.0,31.0
2016,12,2016,0.0200086058519793,0.0200086058519793,0.0200086058519793,0.0200086058519793,0.0200086058519793,0.0334552495697074,0.0200086058519793,29.67
2003,4,2003,0.0,0.0,0.0,0.0,0.0,0.0064935064935064,0.0,1.9
2004,2,2004,0.0,0.0,0.0,0.0,0.0012986076040689,0.0016232595050862,0.0,25.39
2010,1,2010,0.1216450216450216,0.1216450216450216,0.1216450216450216,0.1216450216450216,0.14004329004329,0.2064935064935065,0.1456709956709956,26.88
2008,5,2008,0.3575499603203232,0.3575499603203232,0.3575499603203232,0.3575499603203232,0.3623115215352427,0.4033258783637544,0.3575499603203232,28.69
2015,8,2015,0.2719500757521102,0.2762787677656734,0.2719500757521102,0.2719500757521102,0.2912127552124666,0.4665247817617776,0.2719500757521102,31.89
2018,10,2018,0.0515114349614024,0.0581126902820864,0.0769425005410865,0.0515114349614024,0.0515114349614024,0.2685953394415987,0.0515114349614024,31.24
2005,1,2005,0.01592082616179,0.01592082616179,0.01592082616179,0.01592082616179,0.01592082616179,0.3894148020654044,0.01592082616179,10.25
2008,7,2008,0.0426376163335978,0.0445855277397013,0.0704494625207416,0.0426376163335978,0.0559483442753048,0.105728302431282,0.0492388716542818,30.69
2019,4,2019,0.1406824904408051,0.1598369526008224,0.1406824904408051,0.1406824904408051,0.1589712141981098,0.2255248539066445,0.1406824904408051,18.7
2015,9,2015,0.2107358003442341,0.2107358003442341,0.2107358003442341,0.2107358003442341,0.2172977624784853,0.2363382099827883,0.2107358003442341,33.43
2018,12,2018,0.0,0.0,0.0,0.0,0.0,0.0531385281385281,0.0,26.29
2007,3,2007,0.0209941562657816,0.0209941562657816,0.0209941562657816,0.0209941562657816,0.0209941562657816,0.1956568790130582,0.0209941562657816,28.23
2007,2,2007,0.0216450216450216,0.0216450216450216,0.0216450216450216,0.0216450216450216,0.0216450216450216,0.0678571428571428,0.0216450216450216,25.61
2018,5,2018,0.0160161604501839,0.0226174157708679,0.0160161604501839,0.0160161604501839,0.025431065579684,0.0160161604501839,0.0160161604501839,26.34
2016,9,2016,0.0,0.0,0.0,0.0,0.0,0.0406626506024096,0.0,31.21
2001,4,2001,0.0191480206540447,0.0191480206540447,0.0191480206540447,0.0191480206540447,0.0191480206540447,0.0191480206540447,0.0191480206540447,24.49
2017,7,2017,0.0,0.0,0.0,0.0,0.0,0.0026893287435456,0.0,25.84
2011,10,2011,0.079004329004329,0.079004329004329,0.079004329004329,0.079004329004329,0.079004329004329,0.13008658008658,0.079004329004329,27.51
2011,3,2011,0.0620085130942933,0.0864656229709256,0.0620085130942933,0.0620085130942933,0.1274799797994372,0.2331000649303802,0.0620085130942933,23.32
2014,3,2014,0.0,0.0,0.0,0.0,0.0,0.0066017316017316,0.0,28.12
2004,8,2004,0.1367965367965368,0.1367965367965368,0.1367965367965368,0.1367965367965368,0.1367965367965368,0.1747835497835498,0.1367965367965368,30.39
2016,6,2016,0.0003246519010172,0.0003246519010172,0.0003246519010172,0.0003246519010172,0.0018396941057643,0.0019479114061034,0.0003246519010172,29.66
2001,12,2001,0.1176850258175559,0.1176850258175559,0.1176850258175559,0.1176850258175559,0.1739457831325301,0.1176850258175559,0.121880378657487,28.24
2010,11,2010,0.0,0.0,0.0,0.0,0.0,0.0304432013769363,0.0,29.98
2011,8,2011,0.5091623980953756,0.7268956063776062,0.5091623980953756,0.5091623980953756,0.5881610273429045,0.928720871509992,0.5091623980953756,29.14
2021,8,2021,0.0,0.0,0.0,0.0,0.0,0.0081755593803786,0.0,33.66
2016,9,2016,0.0,0.0,0.0,0.0,0.0,0.0022725633071206,0.0,30.98
2015,1,2015,0.0,0.0,0.0,0.0,0.0,0.0050559380378657,0.0,25.75
2001,6,2001,0.0,0.0,0.0,0.0,0.0066017316017316,0.0,0.0062770562770562,13.4
2014,1,2014,0.0,0.0,0.0,0.0,0.0,0.0061683861193276,0.0,30.79
2021,8,2021,0.1229437229437229,0.1229437229437229,0.1296536796536796,0.1229437229437229,0.1428571428571428,0.1734848484848485,0.1292207792207792,33.78
2007,11,2007,0.0217532467532467,0.0217532467532467,0.0217532467532467,0.0217532467532467,0.0217532467532467,0.0711038961038961,0.0217532467532467,28.49
2006,4,2006,1.5649350649350648,1.5649350649350648,1.5913419913419913,1.5649350649350648,1.5854978354978355,2.5664502164502165,1.5649350649350648,16.58
2017,11,2017,0.1010749585167015,0.5500685376235481,0.1010749585167015,0.1010749585167015,0.2135127335690065,0.3367722386552196,0.1076762138373854,31.21
2005,9,2005,0.0091984705288218,0.0293268883918909,0.0091984705288218,0.0091984705288218,0.0291104537912127,0.0091984705288218,0.0091984705288218,30.34
2001,2,2001,0.0285068846815834,0.0285068846815834,0.0285068846815834,0.0285068846815834,0.048407917383821,0.0285068846815834,0.0285068846815834,25.56
2017,10,2017,0.0,0.0363610129139311,0.0,0.0,0.0066012553206839,0.0190462448596782,0.0,28.47
2003,6,2003,0.0087656013274655,0.0087656013274655,0.0087656013274655,0.0087656013274655,0.0112545992352644,0.0112545992352644,0.0087656013274655,26.77
2009,5,2009,0.0196969696969696,0.0196969696969696,0.0196969696969696,0.0196969696969696,0.0196969696969696,0.0261904761904761,0.0196969696969696,25.42
2014,9,2014,0.0753012048192771,0.0753012048192771,0.0753012048192771,0.0753012048192771,0.0753012048192771,0.0819707401032702,0.0753012048192771,33.27
2011,1,2011,0.0,0.0,0.0,0.0,0.0,0.0509740259740259,0.0,0.09
2011,7,2011,0.4778875982973811,0.4875189380275593,0.4778875982973811,0.4778875982973811,0.4847052882187432,0.6480051944304163,0.4778875982973811,26.31
2009,8,2009,0.0,0.0058437342183103,0.0,0.0,0.0,0.0015150422047471,0.0,31.33
2008,3,2008,0.0,0.0,0.0,0.0,0.0,0.0133116883116883,0.0,22.49
